name,count,count_2012,names
Theresia,2016,15167.0,Theresia
Shania,14339,15131.0,Shania
Adda,923,15110.0,Adda
Fernanda,12172,15098.0,Fernanda
Sula,1298,15031.0,Sula
Aria,12434,14974.0,Aria
Wynona,3457,14936.0,Wynona
Rona,5226,14875.0,Rona
Salina,6722,14875.0,Salina
Maida,2433,14790.0,Maida
Elfrieda,1487,14760.0,Elfrieda
Veva,1598,14710.0,Veva
Estrella,11796,14669.0,Estrella
Georgetta,3553,14642.0,Georgetta
Corinna,6617,14635.0,Corinna
Eura,1453,14622.0,Eura
Alycia,9506,14561.0,Alycia
Daria,7689,14513.0,Daria
Leana,3998,14472.0,Leana
Samara,11482,14471.0,Samara
Nikita,10023,14468.0,Nikita
Reina,8622,14454.0,Reina
Hortencia,3917,14431.0,Hortencia
Griselda,8518,14406.0,Griselda
Jeana,7487,14399.0,Jeana
Hertha,1453,14390.0,Hertha
Tianna,11602,14366.0,Tianna
Shaina,11060,14349.0,Shaina
Danita,7466,14304.0,Danita
Anika,11411,14297.0,Anika
Laquita,6398,14268.0,Laquita
Renita,7381,14261.0,Renita
Lita,4182,14244.0,Lita
Bernetta,2797,14241.0,Bernetta
Lorenza,2946,14238.0,Lorenza
Janessa,11378,14236.0,Janessa
Gemma,7741,14228.0,Gemma
Lashonda,9211,14191.0,Lashonda
Fabiola,8345,14160.0,Fabiola
Hermina,1587,14144.0,Hermina
Starla,7612,14143.0,Starla
Ova,1329,14106.0,Ova
Carma,3927,14101.0,Carma
Elba,3272,14054.0,Elba
Reatha,2624,14051.0,Reatha
Shanda,7991,13993.0,Shanda
Arletta,2348,13973.0,Arletta
Kenna,8437,13962.0,Kenna
Chana,9211,13957.0,Chana
Bria,11988,13929.0,Bria
Dawna,5991,13919.0,Dawna
Gertha,1792,13906.0,Gertha
Cleora,1712,13893.0,Cleora
Shea,9801,13883.0,Shea
Coletta,2298,13875.0,Coletta
Delila,2868,13860.0,Delila
Aura,2691,13814.0,Aura
Alvera,2516,13791.0,Alvera
Almeta,2241,13777.0,Almeta
Lovina,1892,13774.0,Lovina
Ayla,12253,13712.0,Ayla
Chaya,9823,13707.0,Chaya
Theodosia,1478,13697.0,Theodosia
Sharla,6338,13644.0,Sharla
Aniya,13349,13608.0,Aniya
Ciera,11051,13592.0,Ciera
